No,Filename,Width,Height,AspectRatio,PixelAspectRatio,RatioSource,UsageCount,DisplayRatioVariants,AssetKind,SvgRenderable,PptxNativeSupported,SizeKB,Category,ImageArea_SxS,TextArea_SxS
1,员工管理.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,168.5,Wide landscape,812x410,328x600
2,工作台.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,166.6,Wide landscape,812x410,328x600
3,我的待办.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,160.4,Wide landscape,812x410,328x600
4,我的日程.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,93.0,Wide landscape,812x410,328x600
5,数据看板1.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,324.0,Wide landscape,812x410,328x600
6,流程自定义.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,173.9,Wide landscape,812x410,328x600
7,消息中心.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,121.4,Wide landscape,812x410,328x600
8,登录页.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,636.4,Wide landscape,812x410,328x600
9,考勤打卡.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,94.6,Wide landscape,812x410,328x600
10,角色管理.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,153.6,Wide landscape,812x410,328x600
11,请假申请.png,1920,969,1.98,1.98,pixel,1,,bitmap,True,True,140.0,Wide landscape,812x410,328x600
